	Kingdom	Phyla	Class	Order	Family	Genus	Species	Kingdom_Eukaryome	Phylum_Eukaryome	Class_Eukaryome	Order_Eukaryome	Family_Eukaryome	Genus_Eukaryome	Species_Eukaryome
Taxa_8609	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	zambonelliae	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	NA
Taxa_8626	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Onygenales_gen_Incertae_sedis	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_8627	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
Taxa_8628	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	clausa	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_8629	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Onygenales_gen_Incertae_sedis	NA	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_8630	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	NA	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_8638	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Delastria	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_8639	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	lapis	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella.s.str	alpina
Taxa_8640	Fungi	Ascomycota	Dothideomycetes	Microthyriales	Microthyriaceae	Nothomicrothyrium	beaucarneae	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_8641	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	mediterraneensis	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	collinitus
